Job Title,Salary Estimate,Location,min_salary,max_salary,avg_salary,,,,,,,,,
"Data Engineer, Data Engineering and Artifical Intelligence",$71K-$134K  ,"Cambridge, MA",71,134,102.5,,,,,,,,,
Staff Scientist,$39K-$82K  ,"Columbia, SC",39,82,60.5,,,,,,,,,
PL Actuarial-Lead Data Scientist,$114K-$179K  ,"Worcester, MA",114,179,146.5,,,,,,,,,
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",$88K-$162K  ,"South San Francisco, CA",88,162,125,,,,,,,,,
Sr. Data Analyst,$60K-$102K  ,"Springfield, MA",60,102,81,,,,,,,,,
Senior Data & Machine Learning Scientist,$100K-$166K  ,"Chicago, IL",100,166,133,,,,,,,,,
Program/Data Analyst,$55K-$99K  ,"Washington, DC",55,99,77,,,,,,,,,
Data Engineer,$67K-$117K  ,"Herndon, VA",67,117,92,,,,,,,,,
Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,$92K-$150K  ,"Cambridge, MA",92,150,121,,,,,,,,,
"Principal Data Engineer, Data Platform & Insights",$116K-$209K  ,"San Francisco, CA",116,209,162.5,,,,,,,,,
RESEARCH SCIENTIST - BIOLOGICAL SAFETY,$38K-$82K  ,"San Antonio, TX",38,82,60,,,,,,,,,
Data Operations Lead,$85K-$90K,"San Francisco, CA",85,90,87.5,,,,,,,,,
Big Data Engineer,$62K-$119K  ,"Indianapolis, IN",62,119,90.5,,,,,,,,,
Data Scientist / Machine Learning Expert,$86K-$143K  ,"Cambridge, MA",86,143,114.5,,,,,,,,,
Data Scientist,$93K-$149K  ,"Sunnyvale, CA",93,149,121,,,,,,,,,
Senior Data Scientist,$84K-$136K  ,"Dallas, TX",84,136,110,,,,,,,,,
PV Scientist,$60K-$123K  ,"Newton, MA",60,123,91.5,,,,,,,,,
Clinical Data Analyst,$52K-$89K  ,"Portsmouth, VA",52,89,70.5,,,,,,,,,
Data Engineer,$48K-$93K  ,"Lafayette, LA",48,93,70.5,,,,,,,,,
Computational Chemist/Data Scientist,$56K-$97K  ,"Richland, WA",56,97,76.5,,,,,,,,,
Data Engineer,$65K-$119K  ,"Springfield, MA",65,119,92,,,,,,,,,
Principal Data Scientist (Computational Chemistry),$108K-$173K  ,"Salt Lake City, UT",108,173,140.5,,,,,,,,,
Product Engineer – Data Science,$63K-$101K  ,"Arlington, VA",63,101,82,,,,,,,,,
"Principal Scientist, Chemistry & Immunology",$54K-$115K  ,"Rochester, NY",54,115,84.5,,,,,,,,,
"Scientist/Senior Scientist, Autoimmune",$90K-$179K  ,"Cambridge, MA",90,179,134.5,,,,,,,,,
Data Scientist,$127K-$202K  ,"San Francisco, CA",127,202,164.5,,,,,,,,,
Market Data Analyst,$31K-$57K  ,"West Palm Beach, FL",31,57,44,,,,,,,,,
Software Engineer - Data Visualization,$60K-$127K  ,"Annapolis Junction, MD",60,127,93.5,,,,,,,,,
Data Engineer,$75K-$143K  ,"Herndon, VA",75,143,109,,,,,,,,,
Staff Data Engineer,$105K-$194K  ,"Austin, TX",105,194,149.5,,,,,,,,,
Associate Data Engineer,$45K-$86K  ,"Washington, DC",45,86,65.5,,,,,,,,,
Senior Data Scientist,$95K-$154K  ,"Charlotte, NC",95,154,124.5,,,,,,,,,
Staff BI and Data Engineer,$80K-$148K  ,"San Jose, CA",80,148,114,,,,,,,,,
Marketing Data Analyst,$36K-$62K  ,"Exton, PA",36,62,49,,,,,,,,,
"Principal Scientist, Hematology",$54K-$115K  ,"Rochester, NY",54,115,84.5,,,,,,,,,
Data Analyst,$50K-$92K  ,"Alexandria, VA",50,92,71,,,,,,,,,
"Director - Data, Privacy and AI Governance",$67K-$135K  ,"Boston, MA",67,135,101,,,,,,,,,
Data Scientist,$82K-$132K  ,"Redlands, CA",82,132,107,,,,,,,,,
Data Scientist,$85K-$140K  ,"Ipswich, MA",85,140,112.5,,,,,,,,,
Staff Machine Learning Engineer,$138K-$224K  ,"San Francisco, CA",138,224,181,,,,,,,,,
Information Security Data Analyst,$42K-$80K  ,"Chicago, IL",42,80,61,,,,,,,,,
Lead Data Engineer,$190K-$220K ,"Mountain View, CA",190,220,205,,,,,,,,,
Scientist Manufacturing - Kentucky BioProcessing,$68K-$139K  ,"Owensboro, KY",68,139,103.5,,,,,,,,,
Data Analytics Project Manager,$34K-$92K  ,"Springfield, MA",34,92,63,,,,,,,,,
Consultant - Analytics Consulting,$54K-$71K  ,"Hartford, CT",54,71,62.5,,,,,,,,,
Data Engineer,$65K-$124K  ,"Orange, CA",65,124,94.5,,,,,,,,,
Marketing Data Analyst,$35K-$62K  ,"Highland, CA",35,62,48.5,,,,,,,,,
Senior Scientist (Neuroscience),$109K-$200K  ,"Marlborough, MA",109,200,154.5,,,,,,,,,
Medical Laboratory Scientist,$18-$25   ,"Burleson, TX",18,25,21.5,,,,,,,,,
Machine Learning Engineer - Regulatory,$61K-$113K  ,"Lenexa, KS",61,113,87,,,,,,,,,
R&D Specialist/ Food Scientist,$39K-$66K  ,"Hoopeston, IL",39,66,52.5,,,,,,,,,
Data Engineer,$43K-$86K  ,"New York, NY",43,86,64.5,,,,,,,,,
"Scientist, Bacteriology",$74K-$149K  ,"Concord, CA",74,149,111.5,,,,,,,,,
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K  ,"Cambridge, MA",113,196,154.5,,,,,,,,,
Senior Research Scientist-Machine Learning,$81K-$167K  ,"Pittsburgh, PA",81,167,124,,,,,,,,,
Senior Data Scientist,$97K-$160K  ,"Chicago, IL",97,160,128.5,,,,,,,,,
Clinical Laboratory Scientist,$24-$39   ,"Vail, CO",24,39,31.5,,,,,,,,,
Analytics Manager - Data Mart,$42K-$86K  ,"Scotts Valley, CA",42,86,64,,,,,,,,,
Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K  ,"Knoxville, TN",69,127,98,,,,,,,,,
Data Scientist - Algorithms & Inference,$110K-$175K  ,"San Francisco, CA",110,175,142.5,,,,,,,,,
Senior Data Scientist - R&D Oncology,$102K-$172K  ,"New York, NY",102,172,137,,,,,,,,,
Data Engineer,$74K-$124K  ,"Denver, CO",74,124,99,,,,,,,,,
Food Scientist - Developer,$40K-$68K  ,"Milwaukee, WI",40,68,54,,,,,,,,,
Senior Data Scientist,$108K-$171K  ,"Natick, MA",108,171,139.5,,,,,,,,,
Data Engineer,$76K-$142K  ,"Rockville, MD",76,142,109,,,,,,,,,
"Director II, Data Science - GRM Actuarial",$202K-$306K  ,"Chicago, IL",202,306,254,,,,,,,,,
"Scientist, Molecular/Cellular Biologist",$49K-$97K  ,"South San Francisco, CA",49,97,73,,,,,,,,,
Staff Scientist-Downstream Process Development,$49K-$113K  ,"Rockville, MD",49,113,81,,,,,,,,,
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34   ,"Millville, DE",21,34,27.5,,,,,,,,,
Scientist - Analytical Services,$65K-$134K  ,"Winston-Salem, NC",65,134,99.5,,,,,,,,,
Associate Data Analyst- Graduate Development Program,$32K-$59K  ,"Richfield, OH",32,59,45.5,,,,,,,,,
Sr. Data Engineer,$87K-$158K  ,"Indianapolis, IN",87,158,122.5,,,,,,,,,
Senior Insurance Data Scientist,$107K-$173K  ,"Chicago, IL",107,173,140,,,,,,,,,
Senior Data Science Systems Engineer,$56K-$99K  ,"Hampton, VA",56,99,77.5,,,,,,,,,
ENVIRONMENTAL ENGINEER/SCIENTIST,$25K-$28K,"Cambridge, MA",25,28,26.5,,,,,,,,,
Senior Scientist - Regulatory Submissions,$80K-$155K  ,"Winston-Salem, NC",80,155,117.5,,,,,,,,,
Scientist - Biomarker and Flow Cytometry,$43K-$98K  ,"San Diego, CA",43,98,70.5,,,,,,,,,
Revenue Analytics Manager,$45K-$78K  ,"San Francisco, CA",45,78,61.5,,,,,,,,,
"Associate Scientist, LC/MS Biologics",$44K-$96K  ,"Ithaca, NY",44,96,70,,,,,,,,,
Sr. Scientist Method Development,$50K-$110K  ,"Marietta, GA",50,110,80,,,,,,,,,
IT - Data Engineer II,$61K-$119K  ,"Quincy, MA",61,119,90,,,,,,,,,
"Research Scientist, Immunology - Cancer Biology",$100K-$140K,"Cambridge, MA",100,140,120,,,,,,,,,
"Project Scientist - Auton Lab, Robotics Institute",$56K-$91K  ,"Pittsburgh, PA",56,91,73.5,,,,,,,,,
Data Scientist,$68K-$114K  ,"Fort Lauderdale, FL",68,114,91,,,,,,,,,
Data Scientist,$150K-$160K,"Washington, DC",150,160,155,,,,,,,,,
"Enterprise Architect, Data",$101K-$158K  ,"Boston, MA",101,158,129.5,,,,,,,,,
"Senior Manager, Epidemiologic Data Scientist",$125K-$210K  ,"New York, NY",125,210,167.5,,,,,,,,,
Corporate Risk Data Analyst (SQL Based) - Milwaukee or,$43K-$77K  ,"Green Bay, WI",43,77,60,,,,,,,,,
Lead Data Scientist,$139K-$221K  ,"Burbank, CA",139,221,180,,,,,,,,,
"Marketing Data Analyst, May 2020 Undergrad",$44K-$86K  ,"New York, NY",44,86,65,,,,,,,,,
Senior Data Engineer,$78K-$147K  ,"Durham, NC",78,147,112.5,,,,,,,,,
Senior Data Analyst,$65K-$110K  ,"New York, NY",65,110,87.5,,,,,,,,,
Data Modeler - Data Solutions Engineer,$37K-$66K  ,"Indianapolis, IN",37,66,51.5,,,,,,,,,
Associate Environmental Scientist - Wildlife Biologist,$38K-$64K  ,"Clovis, CA",38,64,51,,,,,,,,,
"Associate, Data Science, Internal Audit",$43K-$82K  ,"Boston, MA",43,82,62.5,,,,,,,,,
Sr Data Engineer (Sr BI Developer),$90K-$110K ,"Chandler, AZ",90,110,100,,,,,,,,,
Data Engineer,$61K-$109K  ,"Chantilly, VA",61,109,85,,,,,,,,,
Senior LiDAR Data Scientist,$93K-$151K  ,"Orlando, FL",93,151,122,,,,,,,,,
Salesforce Analytics Consultant,$52K-$81K  ,"Chicago, IL",52,81,66.5,,,,,,,,,
"Technology-Minded, Data Professional Opportunities",$40K-$101K  ,"Columbia, MO",40,101,70.5,,,,,,,,,
Senior Data Engineer,$97K-$180K  ,"Austin, TX",97,180,138.5,,,,,,,,,
Managing Data Scientist/ML Engineer,$81K-$134K  ,"Boston, MA",81,134,107.5,,,,,,,,,
"Scientist, Pharmacometrics",$84K-$157K  ,"Cambridge, MA",84,157,120.5,,,,,,,,,
Staff Scientist- Upstream PD,$49K-$113K  ,"Rockville, MD",49,113,81,,,,,,,,,
Scientist Manufacturing Pharma - Kentucky BioProcessing,$68K-$139K  ,"Owensboro, KY",68,139,103.5,,,,,,,,,
Sr. Data Engineer,$75K-$140K  ,"Chicago, IL",75,140,107.5,,,,,,,,,
Lead Big Data Engineer,$121K-$203K  ,"San Francisco, CA",121,203,162,,,,,,,,,
Product Engineer – Spatial Data Science and Statistical Analysis,$52K-$85K  ,"Redlands, CA",52,85,68.5,,,,,,,,,
Sr Software Engineer (Data Scientist),$81K-$140K  ,"Westlake, OH",81,140,110.5,,,,,,,,,
College Hire - Data Scientist ,$63K-$99K  ,"Peoria, IL",63,99,81,,,,,,,,,
Senior Data Scientist,$110K-$150K ,"Chicago, IL",110,150,130,,,,,,,,,
Sr. Data Engineer (ETL Developer),$83K-$148K  ,"Des Moines, IA",83,148,115.5,,,,,,,,,
Senior Data Scientist Artificial Intelligence,$60K-$101K  ,"Richland, WA",60,101,80.5,,,,,,,,,
Analytics - Business Assurance Data Analyst,$31K-$55K  ,"Cedar Rapids, IA",31,55,43,,,,,,,,,
"Associate Director/Director, Safety Scientist",$102K-$178K  ,"Cambridge, MA",102,178,140,,,,,,,,,
"Senior Scientist, Cell Pharmacology/Assay Development",$110K-$130K,"Cambridge, MA",110,130,120,,,,,,,,,
Data Analyst Senior,$48K-$85K  ,"Philadelphia, PA",48,85,66.5,,,,,,,,,
Lead Data Engineer (Python),$66K-$123K  ,"San Francisco, CA",66,123,94.5,,,,,,,,,
Senior Data Scientist 4 Artificial Intelligence,$92K-$146K  ,"Seattle, WA",92,146,119,,,,,,,,,
Medical Lab Scientist - MLT,$21-$29   ,"Omaha, NE",21,29,25,,,,,,,,,
"Senior Operations Data Analyst, Call Center Operations",$10-$17   ,"Nashville, TN",10,17,13.5,,,,,,,,,
"Director II, Data Science - GRS Predictive Analytics",$150K-$239K  ,"Chicago, IL",150,239,194.5,,,,,,,,,
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,$52K-$91K  ,"San Antonio, TX",52,91,71.5,,,,,,,,,
Geospatial Software Developer and Data Scientist,$82K-$129K ,"Austin, TX",82,129,105.5,,,,,,,,,
Senior Scientist - Toxicologist - Product Integrity (Stewardship),$47K-$101K  ,"Winston-Salem, NC",47,101,74,,,,,,,,,
Systems Engineer II - Data Analyst,$49K-$76K  ,"Huntsville, AL",49,76,62.5,,,,,,,,,
Senior Research Analytical Scientist-Non-Targeted Analysis,$43K-$88K  ,"Durham, NC",43,88,65.5,,,,,,,,,
Director Data Science,$124K-$199K  ,"Fort Lee, NJ",124,199,161.5,,,,,,,,,
Sr Data Analyst - IT,$52K-$93K  ,"Blue Bell, PA",52,93,72.5,,,,,,,,,
Senior Data Engineer,$97K-$181K  ,"San Francisco, CA",97,181,139,,,,,,,,,
Senior Data Engineer,$100K-$173K  ,"San Francisco, CA",100,173,136.5,,,,,,,,,
Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,$53K-$96K  ,"New York, NY",53,96,74.5,,,,,,,,,
Senior Scientist - Biostatistician,$65K-$96K  ,"Winston-Salem, NC",65,96,80.5,,,,,,,,,
Data Scientist,$56K-$95K  ,"Albuquerque, NM",56,95,75.5,,,,,,,,,
Data Scientist,$111K-$176K  ,"Saint Louis, MO",111,176,143.5,,,,,,,,,
Data Scientist,$75K-$127K  ,"Springfield, VA",75,127,101,,,,,,,,,
Data Engineer,$65K-$119K  ,"Springfield, MA",65,119,92,,,,,,,,,
Computational Chemist/Data Scientist,$56K-$97K  ,"Richland, WA",56,97,76.5,,,,,,,,,
Principal Data Scientist (Computational Chemistry),$108K-$173K  ,"Salt Lake City, UT",108,173,140.5,,,,,,,,,
Data Scientist,$94K-$139K  ,"Jersey City, NJ",94,139,116.5,,,,,,,,,
Principal Machine Learning Scientist,$176K-$289K  ,"San Francisco, CA",176,289,232.5,,,,,,,,,
Data Scientist,$92K-$149K  ,"San Francisco, CA",92,149,120.5,,,,,,,,,
Product Engineer – Data Science,$63K-$101K  ,"Arlington, VA",63,101,82,,,,,,,,,
"Principal Scientist, Chemistry & Immunology",$54K-$115K  ,"Rochester, NY",54,115,84.5,,,,,,,,,
Data Scientist,$118K-$188K  ,"Emeryville, CA",118,188,153,,,,,,,,,
Data Scientist,$108K-$146K  ,"Palo Alto, CA",108,146,127,,,,,,,,,
Data Scientist,$65K-$106K  ,"Santa Barbara, CA",65,106,85.5,,,,,,,,,
Data Scientist,$55K-$98K  ,"Carle Place, NY",55,98,76.5,,,,,,,,,
Data Scientist,$94K-$162K  ,"New York, NY",94,162,128,,,,,,,,,
Data Engineer,$63K-$120K  ,"King of Prussia, PA",63,120,91.5,,,,,,,,,
"Scientist/Senior Scientist, Autoimmune",$90K-$179K  ,"Cambridge, MA",90,179,134.5,,,,,,,,,
Data Scientist,$127K-$202K  ,"San Francisco, CA",127,202,164.5,,,,,,,,,
Software Engineer - Data Visualization,$60K-$127K  ,"Annapolis Junction, MD",60,127,93.5,,,,,,,,,
Market Data Analyst,$31K-$57K  ,"West Palm Beach, FL",31,57,44,,,,,,,,,
Staff Data Engineer,$105K-$194K  ,"Austin, TX",105,194,149.5,,,,,,,,,
Associate Data Engineer,$45K-$86K  ,"Washington, DC",45,86,65.5,,,,,,,,,
Data Engineer,$75K-$143K  ,"Herndon, VA",75,143,109,,,,,,,,,
Staff Data Engineer,$126K-$228K  ,"Mountain View, CA",126,228,177,,,,,,,,,
Data Scientist,$80K-$134K  ,"Arlington, VA",80,134,107,,,,,,,,,
Data Scientist,$120K-$189K  ,"Santa Clara, CA",120,189,154.5,,,,,,,,,
Data Scientist,$85K-$142K  ,"Santa Clara, CA",85,142,113.5,,,,,,,,,
Senior Data Scientist,$95K-$154K  ,"Charlotte, NC",95,154,124.5,,,,,,,,,
Data Scientist,$111K-$176K  ,"Brisbane, CA",111,176,143.5,,,,,,,,,
Data Scientist,$87K-$140K  ,"San Francisco, CA",87,140,113.5,,,,,,,,,
Data Scientist,$76K-$127K  ,"Springfield, VA",76,127,101.5,,,,,,,,,
"Data Analyst, Performance Partnership",$54K-$92K  ,"New York, NY",54,92,73,,,,,,,,,
Data Scientist,$61K-$100K  ,"New York, NY",61,100,80.5,,,,,,,,,
Data Scientist,$81K-$140K  ,"New York, NY",81,140,110.5,,,,,,,,,
Staff BI and Data Engineer,$80K-$148K  ,"San Jose, CA",80,148,114,,,,,,,,,
Data Scientist,$108K-$171K  ,"Foster City, CA",108,171,139.5,,,,,,,,,
Data Scientist,$112K-$179K  ,"New York, NY",112,179,145.5,,,,,,,,,
Data Scientist,$63K-$111K  ,"New York, NY",63,111,87,,,,,,,,,
Data Scientist,$75K-$126K  ,"Holyoke, MA",75,126,100.5,,,,,,,,,
Data Scientist Manager,$110K-$184K  ,"New York, NY",110,184,147,,,,,,,,,
Data Engineer,$76K-$145K  ,"New York, NY",76,145,110.5,,,,,,,,,
Marketing Data Analyst,$36K-$62K  ,"Exton, PA",36,62,49,,,,,,,,,
Data Scientist,$70K-$118K  ,"Waltham, MA",70,118,94,,,,,,,,,
Senior Data Scientist,$94K-$153K  ,"New York, NY",94,153,123.5,,,,,,,,,
"Principal Scientist, Hematology",$54K-$115K  ,"Rochester, NY",54,115,84.5,,,,,,,,,
Data Analyst,$50K-$92K  ,"Alexandria, VA",50,92,71,,,,,,,,,
Software Data Engineer - College,$49K-$97K  ,"Corvallis, OR",49,97,73,,,,,,,,,
"Director - Data, Privacy and AI Governance",$67K-$135K  ,"Boston, MA",67,135,101,,,,,,,,,
Staff Machine Learning Engineer,$138K-$224K  ,"San Francisco, CA",138,224,181,,,,,,,,,
Data Scientist,$80K-$139K  ,"San Diego, CA",80,139,109.5,,,,,,,,,
Lead Data Scientist,$158K-$211K  ,"Bellevue, WA",158,211,184.5,,,,,,,,,
Senior Data Scientist - Algorithms,$150K-$180K  ,"New York, NY",150,180,165,,,,,,,,,
Information Security Data Analyst,$42K-$80K  ,"Chicago, IL",42,80,61,,,,,,,,,
Lead Data Engineer,$190K-$220K ,"Mountain View, CA",190,220,205,,,,,,,,,
Data Analyst,$42K-$77K  ,"New York, NY",42,77,59.5,,,,,,,,,
Scientist Manufacturing - Kentucky BioProcessing,$68K-$139K  ,"Owensboro, KY",68,139,103.5,,,,,,,,,
Consultant - Analytics Consulting,$54K-$71K  ,"Hartford, CT",54,71,62.5,,,,,,,,,
Data Analytics Project Manager,$34K-$92K  ,"Springfield, MA",34,92,63,,,,,,,,,
Data Analyst,$47K-$85K  ,"New York, NY",47,85,66,,,,,,,,,
Data Engineer,$65K-$124K  ,"Orange, CA",65,124,94.5,,,,,,,,,
Data Scientist,$56K-$95K  ,"New York, NY",56,95,75.5,,,,,,,,,
Machine Learning Engineer,$62K-$112K  ,"Fort Belvoir, VA",62,112,87,,,,,,,,,
Senior Data Scientist Oncology,$107K-$173K  ,"Gaithersburg, MD",107,173,140,,,,,,,,,
Data Scientist,$64K-$108K  ,"Silver Spring, MD",64,108,86,,,,,,,,,
Senior Data Scientist,$89K-$144K  ,"Palo Alto, CA",89,144,116.5,,,,,,,,,
Senior Scientist (Neuroscience),$109K-$200K  ,"Marlborough, MA",109,200,154.5,,,,,,,,,
Machine Learning Engineer - Regulatory,$61K-$113K  ,"Lenexa, KS",61,113,87,,,,,,,,,
Marketing Data Analyst,$35K-$62K  ,"Highland, CA",35,62,48.5,,,,,,,,,
Data Engineer,$55K-$105K  ,"Houston, TX",55,105,80,,,,,,,,,
Medical Laboratory Scientist,$18-$25   ,"Burleson, TX",18,25,21.5,,,,,,,,,
R&D Specialist/ Food Scientist,$39K-$66K  ,"Hoopeston, IL",39,66,52.5,,,,,,,,,
Principal Data Scientist,$135K-$211K  ,"San Jose, CA",135,211,173,,,,,,,,,
Data Engineer,$57K-$80K  ,"Phoenix, AZ",57,80,68.5,,,,,,,,,
Data Scientist - Alpha Insights,$129K-$215K  ,"New York, NY",129,215,172,,,,,,,,,
"Data Scientist, Office of Data Science",$86K-$143K  ,"Boston, MA",86,143,114.5,,,,,,,,,
"Associate Principal Scientist, Pharmacogenomics",$63K-$127K  ,"Gaithersburg, MD",63,127,95,,,,,,,,,
Data Scientist - Systems Engineering,$50K-$89K  ,"Bedford, MA",50,89,69.5,,,,,,,,,
Data Engineer,$43K-$86K  ,"New York, NY",43,86,64.5,,,,,,,,,
"Scientist, Bacteriology",$74K-$149K  ,"Concord, CA",74,149,111.5,,,,,,,,,
Data Scientist,$71K-$124K  ,"New York, NY",71,124,97.5,,,,,,,,,
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",$113K-$196K  ,"Cambridge, MA",113,196,154.5,,,,,,,,,
Senior Research Scientist-Machine Learning,$81K-$167K  ,"Pittsburgh, PA",81,167,124,,,,,,,,,
Data Scientist,$69K-$121K  ,"New York, NY",69,121,95,,,,,,,,,
Senior Data Scientist,$97K-$160K  ,"Chicago, IL",97,160,128.5,,,,,,,,,
Principal Data Scientist,$150K-$238K  ,"San Francisco, CA",150,238,194,,,,,,,,,
Data Scientist,$77K-$132K  ,"New York, NY",77,132,104.5,,,,,,,,,
Clinical Laboratory Scientist,$24-$39   ,"Vail, CO",24,39,31.5,,,,,,,,,
Data Engineer - Consultant (Charlotte Based),$59K-$112K  ,"Charlotte, NC",59,112,85.5,,,,,,,,,
Data Analyst 1,$35K-$65K  ,"Salt Lake City, UT",35,65,50,,,,,,,,,
Data Engineer,$79K-$147K  ,"Aliso Viejo, CA",79,147,113,,,,,,,,,
"Scientist, Immuno-Oncology",$62K-$119K  ,"Cambridge, MA",62,119,90.5,,,,,,,,,
Senior Data Scientist,$119K-$187K  ,"Los Angeles, CA",119,187,153,,,,,,,,,
Products Data Analyst II,$90K-$157K  ,"Dublin, CA",90,157,123.5,,,,,,,,,
Lead Data Analyst,$32K-$62K  ,"New York, NY",32,62,47,,,,,,,,,
Analytics Manager - Data Mart,$42K-$86K  ,"Scotts Valley, CA",42,86,64,,,,,,,,,
Data Science Engineer - Mobile,$116K-$208K  ,"San Jose, CA",116,208,162,,,,,,,,,
Senior Data Scientist - R&D Oncology,$102K-$172K  ,"New York, NY",102,172,137,,,,,,,,,
Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K  ,"Knoxville, TN",69,127,98,,,,,,,,,
Data Scientist,$86K-$144K  ,"Armonk, NY",86,144,115,,,,,,,,,
Senior Data Scientist,$102K-$165K  ,"Arvada, CO",102,165,133.5,,,,,,,,,
Data Engineer,$74K-$124K  ,"Denver, CO",74,124,99,,,,,,,,,
Food Scientist - Developer,$40K-$68K  ,"Milwaukee, WI",40,68,54,,,,,,,,,
Senior Data Engineer,$76K-$142K  ,"Franklin, TN",76,142,109,,,,,,,,,
Data Engineer,$76K-$142K  ,"Rockville, MD",76,142,109,,,,,,,,,
Senior Data Scientist,$108K-$171K  ,"Natick, MA",108,171,139.5,,,,,,,,,
"Director II, Data Science - GRM Actuarial",$202K-$306K  ,"Chicago, IL",202,306,254,,,,,,,,,
Machine Learning Engineer,$91K-$159K  ,"New York, NY",91,159,125,,,,,,,,,
"Sr Expert Data Science, Advanced Visual Analytics (Associate level)",$80K-$133K  ,"Cambridge, MA",80,133,106.5,,,,,,,,,
"Scientist, Molecular/Cellular Biologist",$49K-$97K  ,"South San Francisco, CA",49,97,73,,,,,,,,,
Staff Scientist-Downstream Process Development,$49K-$113K  ,"Rockville, MD",49,113,81,,,,,,,,,
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34   ,"Millville, DE",21,34,27.5,,,,,,,,,
Scientist - Analytical Services,$65K-$134K  ,"Winston-Salem, NC",65,134,99.5,,,,,,,,,
Associate Data Analyst- Graduate Development Program,$32K-$59K  ,"Richfield, OH",32,59,45.5,,,,,,,,,
IT Associate Data Analyst,$39K-$69K  ,"Worcester, MA",39,69,54,,,,,,,,,
Sr. Data Engineer,$87K-$158K  ,"Indianapolis, IN",87,158,122.5,,,,,,,,,
Clinical Data Analyst,$27K-$48K  ,"Tampa, FL",27,48,37.5,,,,,,,,,
Business Data Analyst,$36K-$71K  ,"New York, NY",36,71,53.5,,,,,,,,,
Senior Insurance Data Scientist,$107K-$173K  ,"Chicago, IL",107,173,140,,,,,,,,,
Senior Data Science Systems Engineer,$56K-$99K  ,"Hampton, VA",56,99,77.5,,,,,,,,,
ENVIRONMENTAL ENGINEER/SCIENTIST,$25K-$28K,"Cambridge, MA",25,28,26.5,,,,,,,,,
Senior Scientist - Regulatory Submissions,$80K-$155K  ,"Winston-Salem, NC",80,155,117.5,,,,,,,,,
Scientist - Biomarker and Flow Cytometry,$43K-$98K  ,"San Diego, CA",43,98,70.5,,,,,,,,,
"Associate Scientist, LC/MS Biologics",$44K-$96K  ,"Ithaca, NY",44,96,70,,,,,,,,,
Revenue Analytics Manager,$45K-$78K  ,"San Francisco, CA",45,78,61.5,,,,,,,,,
Sr. Scientist Method Development,$50K-$110K  ,"Marietta, GA",50,110,80,,,,,,,,,
Data Scientist,$60K-$99K  ,"Atlanta, GA",60,99,79.5,,,,,,,,,
Data Scientist - Sales,$130K-$206K  ,"Mountain View, CA",130,206,168,,,,,,,,,
IT - Data Engineer II,$61K-$119K  ,"Quincy, MA",61,119,90,,,,,,,,,
"Research Scientist, Immunology - Cancer Biology",$100K-$140K,"Cambridge, MA",100,140,120,,,,,,,,,
Senior Data Analyst,$99K-$178K  ,"San Francisco, CA",99,178,138.5,,,,,,,,,
"Principal, Data Science - Advanced Analytics",$86K-$137K  ,"Plymouth Meeting, PA",86,137,111.5,,,,,,,,,
Data Science Project Manager,$37K-$100K  ,"Boston, MA",37,100,68.5,,,,,,,,,
"Sr Scientist, Immuno-Oncology - Oncology",$58K-$111K  ,"Cambridge, MA",58,111,84.5,,,,,,,,,
Senior Data Engineer,$72K-$133K  ,"Nashville, TN",72,133,102.5,,,,,,,,,
"Project Scientist - Auton Lab, Robotics Institute",$56K-$91K  ,"Pittsburgh, PA",56,91,73.5,,,,,,,,,
Research Scientist – Security and Privacy,$61K-$126K  ,"Beavercreek, OH",61,126,93.5,,,,,,,,,
Data Science Manager,$95K-$160K  ,"Allentown, PA",95,160,127.5,,,,,,,,,
Data Analyst 2 (Missionary Department),$53K-$91K  ,"Salt Lake City, UT",53,91,72,,,,,,,,,
"Enterprise Architect, Data",$101K-$158K  ,"Boston, MA",101,158,129.5,,,,,,,,,
Supply Chain Data Analyst,$33K-$61K  ,"Logan, UT",33,61,47,,,,,,,,,
Data Engineer - ETL,$44K-$86K  ,"Birmingham, AL",44,86,65,,,,,,,,,
Corporate Risk Data Analyst (SQL Based),$43K-$77K  ,"Green Bay, WI",43,77,60,,,,,,,,,
"Senior Manager, Epidemiologic Data Scientist",$125K-$210K  ,"New York, NY",125,210,167.5,,,,,,,,,
Marketing Data Analyst,$44K-$86K  ,"New York, NY",44,86,65,,,,,,,,,
Senior Data Analyst,$69K-$119K  ,"Herndon, VA",69,119,94,,,,,,,,,
Senior Data Analyst,$65K-$110K  ,"New York, NY",65,110,87.5,,,,,,,,,
Senior Data Engineer,$67K-$127K  ,"Reston, VA",67,127,97,,,,,,,,,
Senior Data Engineer,$78K-$147K  ,"Durham, NC",78,147,112.5,,,,,,,,,
Data Modeler (Analytical Systems),$66K-$117K  ,"Boston, MA",66,117,91.5,,,,,,,,,
